hour_utc,no2_hawcliffe_rd_mountsorrel,pm25_hawcliffe_rd_mountsorrel,pm10_hawcliffe_rd_mountsorrel,pm1_hawcliffe_rd_mountsorrel,no_hawcliffe_rd_mountsorrel,o3_hawcliffe_rd_mountsorrel
2021-01-29T00:00:00Z,7.14,4.15,4.71,2.19,98.2,13.28
2021-01-29T01:00:00Z,6.86,9.67,11.4,8.53,94.14,11.4
2021-01-29T02:00:00Z,6.57,13.93,17.02,12.66,92.1,8.86
2021-01-29T03:00:00Z,6.89,3.98,4.6,1.97,86.9,10.0
2021-01-29T04:00:00Z,7.13,2.59,2.89,0.28,85.64,10.76
2021-01-29T05:00:00Z,7.33,2.58,2.87,0.26,92.65,11.82
2021-01-29T06:00:00Z,4.88,2.5,2.76,0.09,131.31,11.16
2021-01-29T07:00:00Z,4.16,2.55,2.81,0.06,132.16,8.58
2021-01-29T08:00:00Z,5.52,2.73,3.01,0.23,137.67,11.08
2021-01-29T09:00:00Z,15.15,2.67,2.95,0.18,147.18,23.29
2021-01-29T10:00:00Z,12.95,2.82,3.12,0.35,140.31,21.73
2021-01-29T11:00:00Z,10.4,3.02,3.34,0.45,123.09,19.81
2021-01-29T12:00:00Z,8.53,4.98,6.12,2.01,88.11,13.64
2021-01-29T13:00:00Z,10.79,5.32,6.51,2.28,93.28,16.05
2021-02-01T16:00:00Z,10.71,7.67,11.12,4.64,102.62,1.22
2021-02-01T17:00:00Z,0.99,9.13,12.62,5.65,184.68,0.38
2021-02-01T18:00:00Z,1.73,10.52,14.48,7.05,227.2,3.06
2021-02-01T19:00:00Z,5.13,9.39,12.9,5.69,259.9,6.4
2021-02-01T20:00:00Z,6.64,9.75,13.11,6.06,292.58,7.27
2021-02-01T21:00:00Z,7.35,10.12,13.87,6.65,295.34,6.62
2021-02-01T22:00:00Z,7.57,9.61,12.9,6.07,259.68,6.64
2021-02-01T23:00:00Z,7.96,9.47,12.63,5.98,253.76,6.18
2021-02-02T00:00:00Z,8.12,8.19,10.41,5.05,214.23,7.0
2021-02-02T01:00:00Z,8.14,6.95,8.37,3.96,192.55,5.91
2021-02-02T02:00:00Z,8.44,6.04,7.01,3.19,170.8,6.12
2021-02-02T03:00:00Z,8.59,4.67,5.22,1.93,154.14,6.13
2021-02-02T04:00:00Z,8.87,3.9,4.27,1.28,138.25,6.05
2021-02-02T05:00:00Z,8.65,3.62,3.98,0.97,143.63,5.79
2021-02-02T06:00:00Z,8.57,3.56,3.93,0.96,139.71,5.9
2021-02-02T07:00:00Z,8.53,3.77,4.12,1.13,157.6,5.69
2021-02-02T08:00:00Z,8.59,3.94,4.32,1.15,153.25,5.72
2021-02-02T09:00:00Z,8.59,4.01,4.45,1.17,146.5,6.01
2021-02-02T10:00:00Z,8.39,9.5,12.9,7.52,146.41,5.85
2021-02-02T11:00:00Z,7.66,6.21,7.51,4.26,155.06,5.94
2021-02-02T12:00:00Z,6.5,3.4,3.75,0.63,178.76,5.73
2021-02-02T13:00:00Z,5.64,3.28,3.63,0.54,164.47,5.79
2021-02-02T14:00:00Z,5.96,3.75,4.11,0.85,151.87,12.8
2021-02-02T15:00:00Z,7.39,3.57,4.0,0.74,160.65,11.18
2021-02-02T16:00:00Z,7.35,3.14,3.46,0.28,147.27,7.16
2021-02-02T17:00:00Z,7.57,3.19,3.54,0.37,141.22,6.64
2021-02-02T18:00:00Z,8.57,3.23,3.58,0.46,129.82,6.7
2021-02-02T19:00:00Z,8.85,3.11,3.43,0.32,128.45,6.47
2021-02-02T20:00:00Z,7.98,3.07,3.39,0.36,145.18,6.17
2021-02-02T21:00:00Z,7.99,3.04,3.36,0.36,133.36,6.01
2021-02-02T22:00:00Z,7.97,3.01,3.33,0.33,135.11,5.6
2021-02-02T23:00:00Z,7.67,2.89,3.18,0.21,140.83,5.55
2021-02-03T00:00:00Z,7.35,2.83,3.11,0.15,162.45,5.58
2021-02-03T01:00:00Z,7.49,2.79,3.07,0.13,151.97,5.7
2021-02-03T02:00:00Z,7.56,2.63,2.89,0.04,143.93,6.02
2021-02-03T03:00:00Z,7.68,2.56,2.82,0.01,146.29,5.16
2021-02-03T04:00:00Z,7.54,2.6,2.86,0.05,143.85,5.47
2021-02-03T05:00:00Z,7.74,2.48,2.73,0.0,147.05,5.66
2021-02-03T06:00:00Z,7.69,2.48,2.73,0.0,149.38,5.35
2021-02-03T07:00:00Z,7.78,2.48,2.73,0.01,150.29,6.07
2021-02-03T08:00:00Z,7.91,2.47,2.72,0.0,144.66,5.32
2021-02-03T09:00:00Z,8.67,2.61,2.86,0.02,147.26,5.52
2021-02-03T10:00:00Z,8.58,2.65,2.91,0.07,162.77,5.7
2021-02-03T11:00:00Z,8.53,2.74,3.01,0.07,188.05,5.85
2021-02-03T12:00:00Z,8.51,2.68,2.95,0.08,214.51,6.29
2021-02-03T13:00:00Z,7.08,2.96,3.26,0.34,275.54,6.08
2021-02-03T14:00:00Z,5.77,3.31,3.65,0.63,284.49,6.84
2021-02-03T15:00:00Z,6.67,3.42,3.77,0.77,254.83,6.71
2021-02-03T16:00:00Z,6.48,3.42,3.75,0.77,252.47,6.68
2021-02-03T17:00:00Z,6.58,3.35,3.69,0.68,222.73,6.83
2021-02-03T18:00:00Z,8.02,3.37,3.7,0.72,192.63,6.75
2021-02-03T19:00:00Z,8.65,3.21,3.53,0.59,177.54,7.02
2021-02-03T20:00:00Z,8.36,3.51,3.88,0.74,173.66,6.54
2021-02-03T21:00:00Z,9.02,3.69,4.04,1.04,158.2,6.65
2021-02-03T22:00:00Z,8.68,3.78,4.14,1.06,160.02,6.58
2021-02-03T23:00:00Z,8.37,4.33,4.79,1.63,157.12,5.85
2021-02-04T00:00:00Z,8.28,3.91,4.32,1.18,160.82,6.07
2021-02-04T01:00:00Z,8.13,3.75,4.16,1.02,157.98,5.56
2021-02-04T02:00:00Z,8.24,3.6,3.97,0.87,142.62,5.32
2021-02-04T03:00:00Z,7.95,3.71,4.09,0.96,139.22,4.62
2021-02-04T04:00:00Z,7.95,3.41,3.74,0.7,140.91,4.7
2021-02-04T05:00:00Z,7.84,3.34,3.67,0.62,135.34,4.67
2021-02-04T06:00:00Z,8.32,3.19,3.53,0.52,132.15,4.83
2021-02-04T07:00:00Z,8.27,3.1,3.42,0.41,140.45,5.78
2021-02-04T08:00:00Z,8.59,3.0,3.31,0.31,129.4,5.56
