hour_utc,no2_hawcliffe_rd_mountsorrel,pm25_hawcliffe_rd_mountsorrel,no2_ashby_rd_loughborough,pm25_ashby_rd_loughborough,pm10_hawcliffe_rd_mountsorrel,pm1_hawcliffe_rd_mountsorrel,no_hawcliffe_rd_mountsorrel,o3_hawcliffe_rd_mountsorrel,pm10_ashby_rd_loughborough,pm1_ashby_rd_loughborough,no_ashby_rd_loughborough,o3_ashby_rd_loughborough
2022-01-01T00:00:00Z,77.92,6.36,,,12.1,5.07,0.09,7.8,,,,
2022-01-01T01:00:00Z,75.16,11.07,,,18.37,9.8,0.04,10.67,,,,
2022-01-01T02:00:00Z,72.93,8.37,,,13.88,7.16,0.04,5.06,,,,
2022-01-01T03:00:00Z,68.55,6.97,,,12.32,5.97,0.07,2.51,,,,
2022-01-01T04:00:00Z,63.68,7.85,,,13.36,6.55,0.08,9.71,,,,
2022-01-01T05:00:00Z,59.57,8.49,,,14.06,7.19,0.11,9.02,,,,
2022-01-01T06:00:00Z,55.45,8.37,,,14.07,7.14,0.06,11.59,,,,
2022-01-01T07:00:00Z,51.89,7.35,,,12.59,6.17,0.06,15.53,,,,
2022-01-01T08:00:00Z,49.36,6.19,,,11.48,4.99,0.06,18.45,,,,
2022-01-01T09:00:00Z,48.62,5.69,,,10.58,4.41,0.13,19.2,,,,
2022-01-01T10:00:00Z,46.94,5.12,,,9.59,3.9,0.1,13.9,,,,
2022-01-01T11:00:00Z,45.8,5.4,,,9.75,3.95,0.1,15.0,,,,
2022-01-01T12:00:00Z,44.24,5.16,,,9.66,3.48,0.06,18.75,,,,
2022-01-01T13:00:00Z,44.09,5.54,,,10.24,3.93,0.1,23.22,,,,
2022-01-01T14:00:00Z,43.32,5.52,,,10.49,3.65,0.07,25.37,,,,
2022-01-01T15:00:00Z,40.51,5.59,,,10.95,3.77,0.09,30.48,,,,
2022-01-01T16:00:00Z,38.53,5.62,,,11.26,3.89,0.03,36.47,,,,
2022-01-01T17:00:00Z,35.92,5.45,,,11.15,3.76,0.04,37.71,,,,
2022-01-01T18:00:00Z,34.44,6.06,,,12.21,4.35,0.03,42.22,,,,
2022-01-01T19:00:00Z,31.2,6.23,,,12.78,4.42,0.01,44.84,,,,
2022-01-01T20:00:00Z,29.47,5.97,,,12.43,4.42,0.02,49.99,,,,
2022-01-01T21:00:00Z,27.71,6.0,,,12.32,4.17,0.06,52.38,,,,
2022-01-01T22:00:00Z,25.48,5.57,,,11.59,3.91,0.05,54.31,,,,
2022-01-01T23:00:00Z,24.41,5.23,,,11.66,3.6,0.05,55.24,,,,
2022-01-02T00:00:00Z,22.97,5.1,,,11.21,3.38,0.03,57.12,,,,
2022-01-02T01:00:00Z,21.85,4.95,,,10.7,3.35,0.04,55.83,,,,
2022-01-02T02:00:00Z,20.96,4.55,,,10.49,3.09,0.05,53.02,,,,
2022-01-02T03:00:00Z,21.18,4.25,,,9.69,2.74,0.0,59.32,,,,
2022-01-02T04:00:00Z,20.09,3.97,,,9.28,2.52,0.02,55.76,,,,
2022-01-02T05:00:00Z,19.57,3.35,,,8.1,2.01,0.02,61.1,,,,
2022-01-02T06:00:00Z,13.03,0.92,,,4.03,0.21,0.03,77.01,,,,
2022-01-02T07:00:00Z,14.78,0.63,,,3.63,0.0,0.03,77.93,,,,
2022-01-02T08:00:00Z,15.03,0.51,,,3.77,0.01,0.03,75.93,,,,
2022-01-02T09:00:00Z,15.74,0.51,,,3.77,0.01,0.05,74.2,,,,
2022-01-02T10:00:00Z,14.65,0.75,,,3.76,0.07,0.01,76.42,,,,
2022-01-02T11:00:00Z,15.76,0.91,,,3.81,0.13,0.03,69.0,,,,
2022-01-02T12:00:00Z,16.66,1.9,,,4.91,0.65,0.08,67.51,,,,
2022-01-02T13:00:00Z,14.46,1.95,,,4.64,0.49,0.07,70.75,,,,
2022-01-02T14:00:00Z,14.29,1.78,,,4.38,0.45,0.08,72.73,,,,
2022-01-02T15:00:00Z,14.67,1.58,,,4.15,0.28,0.01,72.65,,,,
2022-01-02T16:00:00Z,14.62,1.2,,,4.06,0.2,0.01,76.73,,,,
2022-01-02T17:00:00Z,13.6,1.12,,,4.08,0.22,0.0,81.97,,,,
2022-01-02T18:00:00Z,11.39,1.11,,,4.0,0.13,0.01,82.76,,,,
2022-01-02T19:00:00Z,11.65,1.83,,,5.05,0.52,0.01,80.12,,,,
2022-01-02T20:00:00Z,11.4,1.71,,,5.34,0.49,0.08,79.93,,,,
2022-01-02T21:00:00Z,12.66,2.02,,,5.71,0.72,0.03,80.5,,,,
2022-01-02T22:00:00Z,12.06,2.49,,,6.64,0.77,0.02,79.24,,,,
2022-01-02T23:00:00Z,8.7,2.83,,,7.31,1.03,0.05,84.07,,,,
2022-01-03T00:00:00Z,8.35,2.69,,,6.72,0.87,0.04,84.07,,,,
2022-01-03T01:00:00Z,9.54,2.51,,,6.57,0.7,0.0,79.82,,,,
2022-01-03T02:00:00Z,8.25,2.32,,,6.27,0.63,0.02,80.55,,,,
2022-01-03T03:00:00Z,8.06,2.24,,,6.12,0.58,0.0,78.5,,,,
2022-01-03T04:00:00Z,9.46,1.81,,,5.45,0.29,0.05,81.05,,,,
2022-01-03T05:00:00Z,9.22,2.23,,,6.23,0.43,0.08,81.85,,,,
2022-01-03T06:00:00Z,7.16,2.48,,,6.28,0.51,0.05,82.42,,,,
2022-01-03T07:00:00Z,6.13,1.51,,,4.78,0.24,0.01,98.52,,,,
2022-01-03T08:00:00Z,8.05,2.15,,,6.21,0.82,0.04,90.34,,,,
2022-01-03T09:00:00Z,6.32,1.77,,,5.16,0.37,0.03,86.48,,,,
2022-01-03T10:00:00Z,9.37,2.31,,,6.31,0.8,0.02,82.07,,,,
2022-01-03T11:00:00Z,8.49,2.62,,,6.27,0.49,0.03,82.79,,,,
2022-01-03T12:00:00Z,7.73,2.41,,,5.23,0.49,0.09,84.62,,,,
2022-01-03T13:00:00Z,7.46,2.82,,,5.48,0.77,0.06,85.98,,,,
2022-01-03T14:00:00Z,8.26,3.04,,,6.3,0.94,0.05,82.2,,,,
2022-01-03T15:00:00Z,10.27,3.06,,,6.45,0.99,0.04,78.98,,,,
2022-01-03T16:00:00Z,10.42,2.82,,,6.29,0.94,0.02,72.83,,,,
2022-01-03T17:00:00Z,8.88,2.15,,,5.2,0.65,0.02,82.49,,,,
2022-01-03T18:00:00Z,8.8,2.77,,,6.32,1.28,0.02,81.41,,,,
2022-01-03T19:00:00Z,14.72,4.41,,,8.79,3.33,0.07,62.83,,,,
2022-01-03T20:00:00Z,15.21,4.42,,,8.8,3.41,0.0,66.4,,,,
2022-01-03T21:00:00Z,9.98,3.96,,,8.21,2.81,0.0,66.59,,,,
2022-01-03T22:00:00Z,9.33,3.34,,,7.46,2.2,0.0,72.7,,,,
2022-01-03T23:00:00Z,8.58,2.99,,,7.05,1.82,0.08,72.44,,,,
2022-01-04T00:00:00Z,8.33,3.06,,,7.43,1.86,0.0,72.7,,,,
2022-01-04T01:00:00Z,6.02,2.85,,,6.94,1.72,0.01,73.28,,,,
2022-01-04T02:00:00Z,6.4,2.42,,,6.67,1.26,0.04,75.35,,,,
2022-01-04T03:00:00Z,6.0,2.47,,,6.46,1.32,0.04,72.92,,,,
2022-01-04T04:00:00Z,4.41,3.13,,,7.02,1.74,0.04,65.35,,,,
2022-01-04T05:00:00Z,1.28,3.07,,,6.72,1.85,0.0,64.34,,,,
2022-01-04T06:00:00Z,2.65,2.06,,,5.46,1.12,0.01,74.53,,,,
2022-01-04T07:00:00Z,5.51,2.79,,,6.48,2.04,0.02,66.24,,,,
2022-01-04T08:00:00Z,12.33,3.2,,,7.15,2.24,0.0,63.08,,,,
2022-01-04T09:00:00Z,19.61,2.94,,,6.39,1.92,0.02,55.91,,,,
2022-01-04T10:00:00Z,29.46,8.74,,,14.4,7.59,0.17,42.25,,,,
2022-01-04T11:00:00Z,20.9,3.21,,,6.22,2.08,0.14,47.4,,,,
2022-01-04T12:00:00Z,16.93,3.45,,,6.38,2.12,0.19,47.7,,,,
2022-01-04T13:00:00Z,10.28,3.67,,,6.01,1.85,0.17,55.45,,,,
2022-01-04T14:00:00Z,8.41,2.77,,,3.94,0.63,0.12,61.77,,,,
2022-01-04T15:00:00Z,10.71,3.5,,,5.78,1.17,0.14,63.89,,,,
2022-01-04T16:00:00Z,17.38,3.74,,,6.74,1.57,0.38,59.43,,,,
2022-01-04T17:00:00Z,12.11,4.07,,,7.68,2.0,0.18,69.15,,,,
2022-01-04T18:00:00Z,8.51,3.79,,,7.39,1.83,0.04,72.71,,,,
2022-01-04T19:00:00Z,16.04,4.33,,,8.24,2.55,0.51,65.09,,,,
2022-01-04T20:00:00Z,8.09,4.02,,,7.59,2.15,0.0,76.17,,,,
2022-01-04T21:00:00Z,7.81,3.59,,,7.3,2.38,0.02,81.14,,,,
2022-01-04T22:00:00Z,4.99,2.46,,,5.75,1.37,0.01,86.35,,,,
2022-01-04T23:00:00Z,4.86,2.4,,,5.69,1.29,0.01,89.05,,,,
2022-01-05T00:00:00Z,4.78,3.46,,,7.32,2.54,0.02,87.88,,,,
2022-01-05T01:00:00Z,3.86,2.85,,,6.58,1.95,0.05,88.94,,,,
2022-01-05T02:00:00Z,3.18,2.46,,,6.39,1.37,0.01,87.6,,,,
2022-01-05T03:00:00Z,3.41,2.98,,,6.89,1.6,0.02,87.45,,,,
2022-01-05T04:00:00Z,2.85,3.21,,,7.36,1.83,0.0,87.85,,,,
2022-01-05T05:00:00Z,3.04,3.1,,,6.99,1.78,0.0,89.03,,,,
2022-01-05T06:00:00Z,3.89,2.82,,,6.95,1.55,0.01,84.81,,,,
2022-01-05T07:00:00Z,9.29,2.83,,,6.89,1.54,0.06,77.3,,,,
2022-01-05T08:00:00Z,21.1,2.69,,,6.49,1.49,0.39,62.34,,,,
2022-01-05T09:00:00Z,18.84,3.29,,,7.32,2.0,0.05,63.71,,,,
2022-01-05T10:00:00Z,18.01,3.15,,,6.96,1.69,0.36,65.41,,,,
2022-01-05T11:00:00Z,14.38,3.67,,,7.42,2.46,0.07,66.35,,,,
2022-01-05T12:00:00Z,13.08,3.68,,,7.52,2.04,0.06,63.28,,,,
2022-01-05T13:00:00Z,9.72,4.04,,,7.14,2.26,0.44,57.89,,,,
2022-01-05T14:00:00Z,9.84,3.35,,,5.15,1.15,0.16,59.62,,,,
2022-01-05T15:00:00Z,19.39,3.15,,,5.01,1.15,0.49,54.02,,,,
2022-01-05T16:00:00Z,24.3,3.53,,,5.9,1.54,0.21,47.11,,,,
2022-01-05T17:00:00Z,35.45,4.46,,,7.8,2.79,0.14,32.85,,,,
2022-01-05T18:00:00Z,42.4,6.61,,,10.89,5.16,1.88,25.5,,,,
2022-01-05T19:00:00Z,26.05,6.82,,,11.96,5.48,0.0,38.33,,,,
2022-01-05T20:00:00Z,19.64,5.69,,,10.16,4.41,0.0,44.99,,,,
2022-01-05T21:00:00Z,14.79,5.64,,,10.29,4.39,0.0,46.18,,,,
2022-01-05T22:00:00Z,13.97,5.18,,,9.45,4.02,0.0,42.78,,,,
2022-01-05T23:00:00Z,21.82,9.34,,,15.54,8.3,0.0,29.27,,,,
2022-01-06T00:00:00Z,25.1,13.66,,,22.13,12.61,0.0,23.45,,,,
2022-01-06T01:00:00Z,25.53,13.16,,,20.72,12.17,0.39,18.17,,,,
2022-01-06T02:00:00Z,24.79,19.66,,,30.89,18.38,2.79,10.64,,,,
2022-01-06T03:00:00Z,23.96,17.13,,,25.29,15.93,0.19,15.03,,,,
2022-01-06T04:00:00Z,24.19,18.95,,,28.23,17.76,3.95,9.57,,,,
2022-01-06T05:00:00Z,29.55,18.82,,,27.44,17.48,1.42,12.94,,,,
2022-01-06T06:00:00Z,30.79,15.97,,,22.89,14.84,0.22,23.33,,,,
2022-01-06T07:00:00Z,32.11,15.29,,,21.75,14.01,1.8,17.55,,,,
2022-01-06T08:00:00Z,31.25,14.9,,,21.8,13.79,0.73,19.31,,,,
2022-01-06T09:00:00Z,41.4,12.43,,,19.03,11.32,5.84,11.75,,,,
2022-01-06T10:00:00Z,48.8,12.84,,,19.4,11.61,6.65,11.91,,,,
2022-01-06T11:00:00Z,32.5,7.91,,,12.81,6.76,0.87,27.19,,,,
2022-01-06T12:00:00Z,19.67,4.45,,,8.22,3.13,0.07,47.69,,,,
2022-01-06T13:00:00Z,16.59,4.85,,,8.91,3.26,0.04,60.12,,,,
2022-01-06T14:00:00Z,16.36,4.88,,,8.96,3.73,0.04,64.73,,,,
2022-01-06T15:00:00Z,20.8,5.32,,,9.85,4.63,0.08,58.26,,,,
2022-01-06T16:00:00Z,21.37,5.01,,,9.63,4.3,0.04,61.01,,,,
2022-01-06T17:00:00Z,19.53,5.62,,,10.5,4.92,0.06,62.58,,,,
2022-01-06T18:00:00Z,13.55,4.5,,,8.81,3.99,0.03,74.78,,,,
2022-01-06T19:00:00Z,9.04,3.28,,,7.16,2.72,0.16,78.37,,,,
2022-01-06T20:00:00Z,8.45,3.08,,,6.7,2.57,0.02,73.14,,,,
2022-01-06T21:00:00Z,8.05,3.33,,,7.65,2.65,0.01,73.7,,,,
2022-01-06T22:00:00Z,4.94,2.85,,,6.85,1.9,0.05,78.8,,,,
2022-01-06T23:00:00Z,0.7,1.31,,,4.22,0.22,0.04,97.7,,,,
2022-01-07T00:00:00Z,3.16,1.94,,,5.48,0.94,0.02,86.35,,,,
2022-01-07T01:00:00Z,2.32,2.06,,,5.73,0.74,0.01,89.69,,,,
