hour_utc,no2_ashby_rd_loughborough,pm25_ashby_rd_loughborough,no2_hawcliffe_rd_mountsorrel,pm25_hawcliffe_rd_mountsorrel,pm10_ashby_rd_loughborough,pm1_ashby_rd_loughborough,no_ashby_rd_loughborough,o3_ashby_rd_loughborough,pm10_hawcliffe_rd_mountsorrel,pm1_hawcliffe_rd_mountsorrel,no_hawcliffe_rd_mountsorrel,o3_hawcliffe_rd_mountsorrel
2024-01-01T00:00:00Z,5.57,1.49,4.96,1.24,4.44,0.5,5.6,15.19,3.79,0.24,0.01,67.34
2024-01-01T01:00:00Z,6.14,2.45,5.23,1.82,5.73,1.45,4.38,15.51,4.59,0.68,0.01,70.96
2024-01-01T02:00:00Z,4.53,2.37,3.96,2.12,5.44,0.97,4.71,17.73,4.83,0.8,0.0,69.87
2024-01-01T03:00:00Z,3.81,1.87,4.74,1.74,4.71,0.68,4.43,19.87,4.19,0.43,0.0,69.61
2024-01-01T04:00:00Z,4.87,1.34,5.38,1.47,3.83,0.15,4.24,18.52,3.78,0.2,0.0,69.54
2024-01-01T05:00:00Z,7.15,1.6,5.61,1.47,4.07,0.49,4.04,14.29,3.7,0.19,0.01,67.49
2024-01-01T06:00:00Z,5.25,1.14,5.3,1.28,3.58,0.03,3.77,17.25,3.63,0.12,0.03,66.5
2024-01-01T07:00:00Z,2.27,0.99,5.39,1.25,3.32,0.0,3.9,22.09,3.32,0.02,0.0,67.73
2024-01-01T08:00:00Z,3.61,1.18,5.42,1.49,3.73,0.05,3.86,20.41,3.77,0.13,0.0,66.87
2024-01-01T09:00:00Z,5.33,1.34,5.51,1.43,3.97,0.04,3.76,17.75,3.62,0.07,0.0,66.37
2024-01-01T10:00:00Z,3.91,1.96,6.05,1.94,4.97,0.39,4.18,20.88,4.55,0.39,0.0,65.26
2024-01-01T11:00:00Z,4.23,3.28,6.94,2.47,6.36,1.5,4.13,22.21,5.48,0.81,0.0,64.03
