hour_utc,no2_ashby_rd_loughborough,pm25_ashby_rd_loughborough,no2_hawcliffe_rd_mountsorrel,pm25_hawcliffe_rd_mountsorrel,no2_wolsey_way_loughborough,pm25_wolsey_way_loughborough,pm10_ashby_rd_loughborough,pm1_ashby_rd_loughborough,no_ashby_rd_loughborough,o3_ashby_rd_loughborough,pm10_hawcliffe_rd_mountsorrel,pm1_hawcliffe_rd_mountsorrel,no_hawcliffe_rd_mountsorrel,o3_hawcliffe_rd_mountsorrel,pm10_wolsey_way_loughborough,pm1_wolsey_way_loughborough,no_wolsey_way_loughborough,o3_wolsey_way_loughborough
2025-01-01T00:00:00Z,5.23,1.51,12.71,2.1,,,4.64,0.27,0.48,20.11,4.35,0.67,2.51,94.69,,,,
2025-01-01T01:00:00Z,4.26,1.44,12.14,2.5,,,4.29,0.35,0.48,20.44,4.91,1.08,2.69,93.71,,,,
2025-01-01T02:00:00Z,4.48,1.18,12.04,1.91,,,3.87,0.23,0.79,20.4,4.03,0.53,1.1,94.34,,,,
2025-01-01T03:00:00Z,4.38,0.91,11.33,1.67,,,3.65,0.04,0.64,20.99,3.77,0.26,2.86,95.97,,,,
2025-01-01T04:00:00Z,5.1,0.81,12.5,1.34,,,3.86,0.02,0.77,20.69,3.56,0.1,3.18,97.59,,,,
2025-01-01T05:00:00Z,4.86,0.55,11.29,1.19,,,3.75,0.02,0.61,21.41,3.22,0.04,3.18,100.66,,,,
2025-01-01T06:00:00Z,3.7,0.48,11.13,0.96,,,3.34,0.0,0.7,21.58,2.92,0.01,2.54,98.74,,,,
2025-01-01T07:00:00Z,3.48,0.59,10.83,1.04,,,3.39,0.01,0.54,22.3,3.11,0.03,2.31,100.16,,,,
2025-01-01T08:00:00Z,4.71,0.55,14.01,1.18,,,3.68,0.02,0.71,21.05,3.6,0.06,2.94,103.52,,,,
2025-01-01T09:00:00Z,1.68,0.5,10.83,0.78,,,3.24,0.0,0.78,14.62,3.1,0.01,6.9,89.21,,,,
2025-01-01T10:00:00Z,4.15,0.4,11.95,0.65,,,3.36,0.0,0.97,14.84,3.07,0.0,10.41,93.98,,,,
2025-01-01T11:00:00Z,6.06,0.39,8.6,0.73,,,3.38,0.0,1.42,11.57,3.02,0.01,16.4,95.66,,,,
2025-01-01T12:00:00Z,4.58,0.65,8.55,1.06,,,3.3,0.0,1.6,13.07,2.89,0.02,13.02,93.19,,,,
2025-01-01T13:00:00Z,4.95,0.8,9.61,1.2,,,3.38,0.01,2.12,13.05,3.19,0.03,11.92,88.87,,,,
2025-01-01T14:00:00Z,5.88,1.11,12.56,1.4,,,3.8,0.1,1.78,12.0,3.54,0.11,12.99,84.68,,,,
2025-01-01T15:00:00Z,7.23,1.55,14.05,1.64,,,4.48,0.36,1.59,8.9,3.8,0.19,13.8,82.64,,,,
2025-01-01T16:00:00Z,7.77,1.34,15.09,1.58,,,4.37,0.2,1.55,6.59,4.01,0.31,16.57,80.64,,,,
2025-01-01T17:00:00Z,6.92,1.42,11.22,1.4,,,4.29,0.41,1.68,6.95,3.48,0.09,15.64,81.96,,,,
2025-01-01T18:00:00Z,4.71,0.84,13.24,1.43,,,3.55,0.04,1.5,9.02,3.6,0.22,14.49,76.23,,,,
2025-01-01T19:00:00Z,7.48,1.78,15.72,1.75,,,4.68,0.72,1.7,3.11,4.16,0.67,15.48,66.22,,,,
2025-01-01T20:00:00Z,4.64,5.21,14.52,2.59,,,8.72,4.17,1.06,5.52,5.21,1.56,18.53,64.0,,,,
2025-01-01T21:00:00Z,3.74,2.52,20.39,4.46,,,5.53,1.73,1.18,5.03,7.78,3.29,21.62,52.55,,,,
2025-01-01T22:00:00Z,5.56,2.55,22.32,4.04,,,5.71,1.72,1.48,3.24,7.26,2.77,24.14,48.33,,,,
2025-01-01T23:00:00Z,9.46,4.01,26.45,4.85,,,7.59,2.85,1.88,0.0,8.32,3.92,25.75,37.48,,,,
2025-01-02T00:00:00Z,8.66,5.6,22.57,5.52,,,9.6,4.68,2.54,0.0,9.23,4.48,21.2,35.31,,,,
2025-01-02T01:00:00Z,4.34,4.26,20.44,4.97,,,8.03,3.31,1.61,0.01,8.67,4.07,20.25,37.29,,,,
2025-01-02T02:00:00Z,3.48,2.64,17.06,4.29,,,6.32,1.59,2.02,0.84,7.71,2.95,23.9,42.98,,,,
2025-01-02T03:00:00Z,2.75,2.16,15.32,3.05,,,5.65,1.07,2.35,1.41,6.02,1.5,21.1,47.89,,,,
2025-01-02T04:00:00Z,3.37,1.41,18.1,2.4,,,4.73,0.37,2.58,0.63,5.24,1.06,19.31,46.71,,,,
2025-01-02T05:00:00Z,5.37,1.44,19.02,2.23,,,4.85,0.54,2.52,0.17,5.12,0.82,21.28,40.7,,,,
2025-01-02T06:00:00Z,13.62,2.8,19.45,1.76,,,6.23,2.31,5.09,0.0,4.6,0.58,18.55,39.15,,,,
2025-01-02T07:00:00Z,20.14,4.14,22.99,1.56,,,7.21,3.72,9.58,0.0,4.3,0.43,17.8,34.74,,,,
2025-01-02T08:00:00Z,27.1,2.88,34.18,1.69,,,6.36,2.36,15.72,0.0,4.45,0.58,20.28,18.87,,,,
2025-01-02T09:00:00Z,18.2,4.77,29.57,1.9,,,7.61,3.99,7.94,0.0,4.63,0.67,19.36,27.81,,,,
2025-01-02T10:00:00Z,8.09,3.49,27.73,2.28,,,6.62,2.51,3.18,0.03,4.83,0.91,26.22,33.29,,,,
2025-01-02T11:00:00Z,6.48,3.06,22.97,2.76,,,6.13,1.61,3.3,1.05,5.3,1.1,27.09,43.53,,,,
2025-01-02T12:00:00Z,5.92,3.41,20.13,2.97,,,5.36,1.34,2.44,4.83,4.97,1.11,27.07,53.75,,,,
2025-01-02T13:00:00Z,4.69,4.39,19.79,3.77,,,5.17,1.56,1.04,7.15,5.78,1.57,22.83,57.75,,,,
2025-01-02T14:00:00Z,4.32,4.37,22.29,4.55,,,4.98,1.36,0.8,9.98,6.63,2.19,22.91,56.2,,,,
2025-01-02T15:00:00Z,5.19,2.87,19.16,3.38,,,3.18,0.14,0.34,14.99,4.86,1.27,24.22,62.87,,,,
2025-01-02T16:00:00Z,8.98,3.64,23.14,2.84,,,4.1,0.96,0.41,8.34,4.17,0.89,20.76,61.81,,,,
2025-01-02T17:00:00Z,14.6,4.54,31.27,3.77,,,6.45,2.1,1.37,2.36,5.89,1.8,22.46,43.87,,,,
2025-01-02T18:00:00Z,22.69,7.09,48.7,5.47,,,10.67,5.46,5.38,0.0,8.57,3.7,26.01,21.09,,,,
2025-01-02T19:00:00Z,21.18,8.49,32.52,7.59,,,12.95,6.96,5.29,0.0,11.72,6.02,15.91,33.19,,,,
2025-01-02T20:00:00Z,14.37,8.51,34.08,9.72,,,13.08,7.13,3.01,0.0,14.68,8.11,16.87,27.63,,,,
2025-01-02T21:00:00Z,13.56,9.24,33.86,9.14,,,14.01,7.5,3.02,0.0,13.86,7.45,18.9,27.99,,,,
2025-01-02T22:00:00Z,12.98,10.39,26.81,7.59,,,15.74,8.13,3.57,0.0,11.68,6.04,19.5,34.91,,,,
2025-01-02T23:00:00Z,9.01,12.91,49.02,15.6,,,18.62,11.13,2.03,0.0,22.79,13.97,16.43,3.19,,,,
2025-01-03T00:00:00Z,9.16,13.9,30.46,11.22,,,19.65,12.29,2.03,0.0,16.74,9.86,17.22,19.03,,,,
2025-01-03T01:00:00Z,7.56,14.5,30.65,13.46,,,19.33,13.3,2.06,0.0,19.83,11.93,15.76,11.38,,,,
2025-01-03T02:00:00Z,5.6,10.1,20.8,6.39,,,13.36,9.02,2.24,2.05,10.26,5.05,14.57,43.05,,,,
