hour_utc,no2_ashby_rd_loughborough,pm25_ashby_rd_loughborough,no2_hawcliffe_rd_mountsorrel,pm25_hawcliffe_rd_mountsorrel,no2_wolsey_way_loughborough,pm25_wolsey_way_loughborough,no2_whetstone_way_whetstone,pm25_whetstone_way_whetstone,no2_cobden_primary_school_loughborough,pm25_cobden_primary_school_loughborough,pm10_ashby_rd_loughborough,pm1_ashby_rd_loughborough,no_ashby_rd_loughborough,o3_ashby_rd_loughborough,pm10_hawcliffe_rd_mountsorrel,pm1_hawcliffe_rd_mountsorrel,no_hawcliffe_rd_mountsorrel,o3_hawcliffe_rd_mountsorrel,pm10_wolsey_way_loughborough,pm1_wolsey_way_loughborough,no_wolsey_way_loughborough,o3_wolsey_way_loughborough,pm10_whetstone_way_whetstone,pm1_whetstone_way_whetstone,no_whetstone_way_whetstone,o3_whetstone_way_whetstone,pm10_cobden_primary_school_loughborough,pm1_cobden_primary_school_loughborough,no_cobden_primary_school_loughborough,o3_cobden_primary_school_loughborough
2026-01-01T00:00:00Z,3.13,3.1,4.65,3.94,13.11,3.97,,,,,5.33,2.08,1.39,12.44,6.48,2.53,3.19,76.55,6.24,2.86,2.49,89.68,,,,,,,,
2026-01-01T01:00:00Z,2.48,2.85,2.86,3.73,9.79,4.43,,,,,5.0,1.67,1.43,13.63,6.02,2.16,4.12,77.93,6.9,3.24,5.0,91.69,,,,,,,,
2026-01-01T02:00:00Z,3.53,5.51,4.48,6.87,10.59,4.54,,,,,8.59,3.85,1.54,12.96,10.58,4.97,6.05,76.78,7.3,3.49,1.41,92.26,,,,,,,,
2026-01-01T03:00:00Z,3.53,5.83,4.44,7.42,8.08,4.72,,,,,8.98,4.31,1.48,13.09,11.37,5.67,7.71,76.67,7.49,3.78,0.04,96.44,,,,,,,,
2026-01-01T04:00:00Z,5.24,4.61,4.51,6.15,11.08,3.98,,,,,7.28,3.26,1.35,9.06,9.51,4.56,0.61,76.93,6.53,2.96,2.49,90.62,,,,,,,,
2026-01-01T05:00:00Z,3.35,3.04,4.31,4.19,7.0,2.55,,,,,5.08,1.82,1.58,14.0,6.6,2.6,6.32,79.89,4.22,1.28,1.6,98.36,,,,,,,,
2026-01-01T06:00:00Z,5.37,2.24,7.66,2.93,13.43,1.71,,,,,4.37,1.17,1.17,11.5,5.02,1.3,6.03,77.29,3.47,0.61,0.95,88.59,,,,,,,,
2026-01-01T07:00:00Z,6.43,2.1,8.51,2.62,16.4,1.48,,,,,4.49,1.1,1.22,8.54,4.85,1.18,6.65,73.66,3.51,0.46,1.16,85.93,,,,,,,,
2026-01-01T08:00:00Z,5.16,1.84,10.78,2.28,16.49,1.44,,,,,4.5,0.93,1.23,11.54,4.8,1.04,3.28,73.07,3.78,0.53,0.68,88.19,,,,,,,,
2026-01-01T09:00:00Z,4.1,1.96,9.99,2.76,13.14,3.16,,,,,4.87,1.21,0.97,10.74,5.57,1.45,2.63,72.88,6.36,2.43,0.59,83.85,,,,,,,,
